download_count,project
11794056,"pywin32-ctypes"
11779487,"yfinance"
11760938,"langfuse"
11735060,"types-aiofiles"
11734134,"incremental"
11723175,"azure-mgmt-compute"
11706931,"mistralai"
11706566,"openlineage-python"
11661283,"lightgbm"
11655652,"mlflow-tracing"
11627317,"shap"
11608760,"asyncssh"
11603452,"pytest-django"
11598642,"pyserial"
11559031,"gradio"
11553181,"paginate"
11545849,"azure-mgmt-containerinstance"
11541765,"apache-airflow-providers-amazon"
11518232,"datamodel-code-generator"
11512537,"hydra-core"
11497927,"libclang"
11489760,"pytesseract"
11482702,"qrcode"
11445327,"pysftp"
11432759,"jellyfish"
11390755,"types-markdown"
11363871,"ansible-core"
11358875,"pooch"
11324046,"scp"
11299574,"ratelimit"
11244696,"hatch"
11243051,"chromadb"
11240775,"valkey-glide-sync"
11228352,"boolean-py"
11222139,"license-expression"
11217580,"azure-monitor-opentelemetry"
11187390,"adlfs"
11183143,"grpcio-reflection"
11174438,"qdrant-client"
11166152,"mypy-boto3-rds"
11154171,"firebase-admin"
